speaker,text,date,year,debate_id
Barack Obama,"Well, thank you very much, Jim, and thanks to the commission and the University of Mississippi, Ole Miss, for hosting us tonight. I can’t think of a more important time for us to talk about the future of the country.",2008-09-26,2008,2008_September_26_2008
Moderator,"Senator McCain, two minutes.",2008-09-26,2008,2008_September_26_2008
John McCain,"Well, thank you, Jim. And thanks to everybody.",2008-09-26,2008,2008_September_26_2008
Moderator,"All right, let’s go back to my question. How do you all stand on the recovery plan? And talk to each other about it. We’ve got five minutes. We can negotiate a deal right here.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"We haven’t seen the language yet. And I do think that there’s constructive work being done out there. So, for the viewers who are watching, I am optimistic about the capacity of us to come together with a plan.",2008-09-26,2008,2008_September_26_2008
Moderator,"Are you going to vote for the plan, Senator McCain?",2008-09-26,2008,2008_September_26_2008
John McCain,I — I hope so. And I…,2008-09-26,2008,2008_September_26_2008
Moderator,As a United States senator…,2008-09-26,2008,2008_September_26_2008
Moderator,… you’re going to vote for the plan?,2008-09-26,2008,2008_September_26_2008
John McCain,"Sure. But — but let me — let me point out, I also warned about Fannie Mae and Freddie Mac and warned about corporate greed and excess, and CEO pay, and all that. A lot of us saw this train wreck coming.",2008-09-26,2008,2008_September_26_2008
Moderator,"Do you have something directly to say, Senator Obama, to Senator McCain about what he just said?",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Well, I think Senator McCain’s absolutely right that we need more responsibility, but we need it not just when there’s a crisis. I mean, we’ve had years in which the reigning economic ideology has been what’s good for Wall Street, but not what’s good for Main Street.",2008-09-26,2008,2008_September_26_2008
Moderator,Say it directly to him.,2008-09-26,2008,2008_September_26_2008
Barack Obama,I do not think that they are.,2008-09-26,2008,2008_September_26_2008
Moderator,Say it directly to him.,2008-09-26,2008,2008_September_26_2008
Barack Obama,"Well, the — John, 10 days ago, you said that the fundamentals of the economy are sound. And…",2008-09-26,2008,2008_September_26_2008
John McCain,Are you afraid I couldn’t hear him?,2008-09-26,2008,2008_September_26_2008
Moderator,I’m just determined to get you all to talk to each other. I’m going to try.,2008-09-26,2008,2008_September_26_2008
Barack Obama,"The — and I just fundamentally disagree. And unless we are holding ourselves accountable day in, day out, not just when there’s a crisis for folks who have power and influence and can hire lobbyists, but for the nurse, the teacher, the police officer, who, frankly, at the end of each month, they’ve got a little financial crisis going on.",2008-09-26,2008,2008_September_26_2008
Moderator,"So, Senator McCain, do you agree with what Senator Obama just said? And, if you don’t, tell him what you disagree with.",2008-09-26,2008,2008_September_26_2008
John McCain,"No, I — look, we’ve got to fix the system. We’ve got fundamental problems in the system. And Main Street is paying a penalty for the excesses and greed in Washington, D.C., and in the Wall Street.",2008-09-26,2008,2008_September_26_2008
Moderator,"All right, let’s go to the next lead question, which is essentially following up on this same subject.",2008-09-26,2008,2008_September_26_2008
John McCain,"Well, the first thing we have to do is get spending under control in Washington. It’s completely out of control. It’s gone — we have now presided over the largest increase in the size of government since the Great Society.",2008-09-26,2008,2008_September_26_2008
Moderator,"Senator Obama, two minutes.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Well, Senator McCain is absolutely right that the earmarks process has been abused, which is why I suspended any requests for my home state, whether it was for senior centers or what have you, until we cleaned it up.",2008-09-26,2008,2008_September_26_2008
Moderator,Senator McCain?,2008-09-26,2008,2008_September_26_2008
John McCain,"Well, again, I don’t mean to go back and forth, but he…",2008-09-26,2008,2008_September_26_2008
Moderator,"No, that’s fine.",2008-09-26,2008,2008_September_26_2008
John McCain,"Senator Obama suspended those requests for pork-barrel projects after he was running for president of the United States. He didn’t happen to see that light during the first three years as a member of the United States Senate, $932 million in requests.",2008-09-26,2008,2008_September_26_2008
Barack Obama,I — I don’t know where John is getting his figures. Let’s just be clear.,2008-09-26,2008,2008_September_26_2008
Barack Obama,"And when you look at your tax policies that are directed primarily at those who are doing well, and you are neglecting people who are really struggling right now, I think that is a continuation of the last eight years, and we can’t afford another four.",2008-09-26,2008,2008_September_26_2008
Moderator,"Respond directly to him about that, to Senator Obama about that, about the — he’s made it twice now, about your tax — your policies about tax cuts.",2008-09-26,2008,2008_September_26_2008
John McCain,"Well — well, let me give you an example of what Senator Obama finds objectionable, the business tax.",2008-09-26,2008,2008_September_26_2008
Moderator,"Senator Obama, you have a question for Senator McCain on that?",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Well, let me just make a couple of points.",2008-09-26,2008,2008_September_26_2008
Moderator,All right.,2008-09-26,2008,2008_September_26_2008
Barack Obama,"My definition — here’s what I can tell the American people: 95 percent of you will get a tax cut. And if you make less than $250,000, less than a quarter-million dollars a year, then you will not see one dime’s worth of tax increase.",2008-09-26,2008,2008_September_26_2008
John McCain,"Well, you know, let me just…",2008-09-26,2008,2008_September_26_2008
Moderator,We’ve got to go to another lead question.,2008-09-26,2008,2008_September_26_2008
John McCain,"I know we have to, but this is a classic example of walking the walk and talking the talk.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"John, you want to give oil companies another $4 billion.",2008-09-26,2008,2008_September_26_2008
John McCain,You’ve got to look at our record. You’ve got to look at our records. That’s the important thing.,2008-09-26,2008,2008_September_26_2008
Barack Obama,"That’s not true, John. That’s not true.",2008-09-26,2008,2008_September_26_2008
John McCain,"And that’s just a fact. Again, you can look it up.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Look, it’s just not true. And if we want to talk about oil company profits, under your tax plan, John — this is undeniable — oil companies would get an additional $4 billion in tax breaks.",2008-09-26,2008,2008_September_26_2008
John McCain,"With all due respect, you already gave them to the oil companies.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"No, but, John, the fact of the matter is, is that I was opposed to those tax breaks, tried to strip them out. We’ve got an energy bill on the Senate floor right now that contains some good stuff, some stuff you want, including drilling off-shore, but you’re opposed to it because it would strip away those tax breaks that have gone to oil companies.",2008-09-26,2008,2008_September_26_2008
Moderator,"All right. All right, speaking of things that both of you want, another lead question, and it has to do with the rescue — the financial rescue thing that we started — started asking about.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Well, there are a range of things that are probably going to have to be delayed. We don’t yet know what our tax revenues are going to be. The economy is slowing down, so it’s hard to anticipate right now what the budget is going to look like next year.",2008-09-26,2008,2008_September_26_2008
Moderator,"Are you — what priorities would you adjust, as president, Senator McCain, because of the — because of the financial bailout cost?",2008-09-26,2008,2008_September_26_2008
John McCain,"Look, we, no matter what, we’ve got to cut spending. We have — as I said, we’ve let government get completely out of control.",2008-09-26,2008,2008_September_26_2008
John McCain,"I saved the taxpayers $6.8 billion by fighting a contract that was negotiated between Boeing and DOD that was completely wrong. And we fixed it and we killed it and the people ended up in federal prison so I know how to do this because I’ve been involved these issues for many, many years. But I think that we have to examine every agency of government and find out those that are doing their job and keep them and find out those that aren’t and eliminate them and we’ll have to scrub every agency of government.",2008-09-26,2008,2008_September_26_2008
Moderator,But if I hear the two of you correctly neither one of you is suggesting any major changes in what you want to do as president as a result of the financial bailout? Is that what you’re saying?,2008-09-26,2008,2008_September_26_2008
Barack Obama,"No. As I said before, Jim, there are going to be things that end up having to be …",2008-09-26,2008,2008_September_26_2008
Moderator,Like what?,2008-09-26,2008,2008_September_26_2008
Barack Obama,"… deferred and delayed. Well, look, I want to make sure that we are investing in energy in order to free ourselves from the dependence on foreign oil. That is a big project. That is a multi-year project.",2008-09-26,2008,2008_September_26_2008
Moderator,Not willing to give that up?,2008-09-26,2008,2008_September_26_2008
Barack Obama,Not willing to give up the need to do it but there may be individual components that we can’t do. But John is right we have to make cuts. We right now give $15 billion every year as subsidies to private insurers under the Medicare system. Doesn’t work any better through the private insurers. They just skim off $15 billion. That was a give away and part of the reason is because lobbyists are able to shape how Medicare works.,2008-09-26,2008,2008_September_26_2008
Moderator,"What I’m trying to get at this is this. Excuse me if I may, senator. Trying to get at that you all — one of you is going to be the president of the United States come January. At the — in the middle of a huge financial crisis that is yet to be resolved. And what I’m trying to get at is how this is going to affect you not in very specific — small ways but in major ways and the approach to take as to the presidency.",2008-09-26,2008,2008_September_26_2008
John McCain,"How about a spending freeze on everything but defense, veteran affairs and entitlement programs.",2008-09-26,2008,2008_September_26_2008
Moderator,Spending freeze?,2008-09-26,2008,2008_September_26_2008
John McCain,I think we ought to seriously consider with the exceptions of caring for our veterans national defense and several other vital issues.,2008-09-26,2008,2008_September_26_2008
Moderator,Would you go for that?,2008-09-26,2008,2008_September_26_2008
Barack Obama,"The problem with a spending freeze is you’re using a hatchet where you need a scalpel. There are some programs that are very important that are under funded. I went to increase early childhood education and the notion that we should freeze that when there may be, for example, this Medicare subsidy, I think, doesn’t make sense.",2008-09-26,2008,2008_September_26_2008
John McCain,"Look, we are sending $700 billion a year overseas to countries that don’t like us very much. Some of that money ends up in the hands of terrorist organizations. We have to have wind, tide, solar, natural gas, flex fuel cars and all that but we also have to have offshore drilling and we also have to have nuclear power.",2008-09-26,2008,2008_September_26_2008
Moderator,"Before we go to another lead question. Let me figure out a way to ask the same question in a slightly different way here. Are you — are you willing to acknowledge both of you that this financial crisis is going to affect the way you rule the country as president of the United States beyond the kinds of things that you have already — I mean, is it a major move? Is it going to have a major affect?",2008-09-26,2008,2008_September_26_2008
Barack Obama,"There’s no doubt itâ€™s gonna affect our budgets. There is no doubt about it. Not only — Even if we get all $700 billion back, let’s assume the markets recover, we’re holding assets long enough that eventually taxpayers get it back and that happened during the Great Depression when Roosevelt purchased a whole bunch of homes, over time, home values went back up and in fact government made a profit. If we’re lucky and we do it right, that could potentially happen but in the short term there’s an outlay and we may not see that money for a while.",2008-09-26,2008,2008_September_26_2008
John McCain,"Well, I want to make sure we’re not handing the health care system over to the federal government which is basically what would ultimately happen with Senator Obama’s health care plan. I want the families to make decisions between themselves and their doctors. Not the federal government. Look. We have to obviously cut spending. I have fought to cut spending. Senator Obama has $800 billion in new spending programs. I would suggest he start by canceling some of those new spending program that he has.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"I just want to make this point, Jim. John, it’s been your president who you said you agreed with 90 percent of the time who presided over this increase in spending. This orgy of spending and enormous deficits you voted for almost all of his budgets. So to stand here and after eight years and say that you’re going to lead on controlling spending and, you know, balancing our tax cuts so that they help middle class families when over the last eight years that hasn’t happened I think just is, you know, kind of hard to swallow.",2008-09-26,2008,2008_September_26_2008
Moderator,Quick response to Senator Obama.,2008-09-26,2008,2008_September_26_2008
John McCain,"It’s well-known that I have not been elected Miss Congeniality in the United States Senate nor with the administration. I have opposed the president on spending, on climate change, on torture of prisoner, on – on Guantanamo Bay. On a — on the way that the Iraq War was conducted. I have a long record and the American people know me very well and that is independent and a maverick of the Senate and I’m happy to say that I’ve got a partner that’s a good maverick along with me now.",2008-09-26,2008,2008_September_26_2008
Moderator,"All right. Let’s go another subject. Lead question, two minutes to you, senator McCain. Much has been said about the lessons of Vietnam. What do you see as the lessons of Iraq?",2008-09-26,2008,2008_September_26_2008
John McCain,"I think the lessons of Iraq are very clear that you cannot have a failed strategy that will then cause you to nearly lose a conflict. Our initial military success, we went in to Baghdad and everybody celebrated. And then the war was very badly mishandled. I went to Iraq in 2003 and came back and said, we’ve got to change this strategy. This strategy requires additional troops, it requires a fundamental change in strategy and I fought for it. And finally, we came up with a great general and a strategy that has succeeded.",2008-09-26,2008,2008_September_26_2008
John McCain,"And I want to tell you that now that we will succeed and our troops will come home, and not in defeat, that we will see a stable ally in the region and a fledgling democracy.",2008-09-26,2008,2008_September_26_2008
Moderator,"Two minutes, how you see the lessons of Iraq, Senator Obama.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Well, this is an area where Senator McCain and I have a fundamental difference because I think the first question is whether we should have gone into the war in the first place.",2008-09-26,2008,2008_September_26_2008
Moderator,"Do you agree with that, the lesson of Iraq?",2008-09-26,2008,2008_September_26_2008
John McCain,"The next president of the United States is not going to have to address the issue as to whether we went into Iraq or not. The next president of the United States is going to have to decide how we leave, when we leave, and what we leave behind. That’s the decision of the next president of the United States.",2008-09-26,2008,2008_September_26_2008
Moderator,"Well, let’s go at some of these things…",2008-09-26,2008,2008_September_26_2008
John McCain,"Senator Obama is the chairperson of a committee that oversights NATO that’s in Afghanistan. To this day, he has never had a hearing.",2008-09-26,2008,2008_September_26_2008
Moderator,What about that point?,2008-09-26,2008,2008_September_26_2008
John McCain,"I mean, it’s remarkable.",2008-09-26,2008,2008_September_26_2008
Moderator,All right. What about that point?,2008-09-26,2008,2008_September_26_2008
Barack Obama,Which point? He raised a whole bunch of them.,2008-09-26,2008,2008_September_26_2008
Moderator,"I know, OK, let’s go to the latter point and we’ll back up. The point about your not having been…",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Look, I’m very proud of my vice presidential selection, Joe Biden, who is the chairman of the Senate Foreign Relations Committee, and as he explains, and as John well knows, the issues of Afghanistan, the issues of Iraq, critical issues like that, don’t go through my subcommittee because they’re done as a committee as a whole.",2008-09-26,2008,2008_September_26_2008
Moderator,Senator Obama…,2008-09-26,2008,2008_September_26_2008
Barack Obama,"… of judgment, of whether or not — of whether or not — if the question is who is best-equipped as the next president to make good decisions about how we use our military, how we make sure that we are prepared and ready for the next conflict, then I think we can take a look at our judgment.",2008-09-26,2008,2008_September_26_2008
Moderator,I have got a lot on the plate here…,2008-09-26,2008,2008_September_26_2008
John McCain,"I’m afraid Senator Obama doesn’t understand the difference between a tactic and a strategy. But the important — I’d like to tell you, two Fourths of July ago I was in Baghdad. General Petraeus invited Senator Lindsey Graham and me to attend a ceremony where 688 brave young Americans, whose enlistment had expired, were reenlisting to stay and fight for Iraqi freedom and American freedom.",2008-09-26,2008,2008_September_26_2008
Barack Obama,That’s not true.,2008-09-26,2008,2008_September_26_2008
John McCain,They just passed an electoral…,2008-09-26,2008,2008_September_26_2008
Barack Obama,That’s not true.,2008-09-26,2008,2008_September_26_2008
John McCain,"An election law just in the last few days. There is social, economic progress, and a strategy, a strategy of going into an area, clearing and holding, and the people of the country then become allied with you. They inform on the bad guys. And peace comes to the country, and prosperity.",2008-09-26,2008,2008_September_26_2008
Moderator,Let me see…,2008-09-26,2008,2008_September_26_2008
Barack Obama,"Jim, Jim, this is a big…",2008-09-26,2008,2008_September_26_2008
John McCain,"It was a strategy. And that same strategy will be employed in Afghanistan by this great general. And Senator Obama, who after promising not to vote to cut off funds for the troops, did the incredible thing of voting to cut off the funds for the troops in Iraq and Afghanistan.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Jim, there are a whole bunch of things we have got to answer. First of all, let’s talk about this troop funding issue because John always brings this up. Senator McCain cut — Senator McCain opposed funding for troops in legislation that had a timetable, because he didn’t believe in a timetable.",2008-09-26,2008,2008_September_26_2008
John McCain,Admiral Mullen suggests that Senator Obama’s plan is dangerous for America.,2008-09-26,2008,2008_September_26_2008
Barack Obama,That’s not the case.,2008-09-26,2008,2008_September_26_2008
John McCain,That’s what …,2008-09-26,2008,2008_September_26_2008
Barack Obama,What he said was a precipitous…,2008-09-26,2008,2008_September_26_2008
John McCain,That’s what Admiral Mullen said.,2008-09-26,2008,2008_September_26_2008
Barack Obama,… withdrawal would be dangerous. He did not say that. That’s not true.,2008-09-26,2008,2008_September_26_2008
John McCain,"And also General Petraeus said the same thing. Osama bin Laden and General Petraeus have one thing in common that I know of, they both said that Iraq is the central battleground.",2008-09-26,2008,2008_September_26_2008
John McCain,"It didn’t exceed beyond mine, because I know that that’s a strategy that has worked and can succeed. But if we snatch defeat from the jaws of victory and adopt Senator Obama’s plan, then we will have a wider war and it will make things more complicated throughout the region, including in Afghanistan.",2008-09-26,2008,2008_September_26_2008
Moderator,"Afghanistan, lead — a new — a new lead question. Now, having resolved Iraq, we’ll move to Afghanistan.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Yes, I think we need more troops. I’ve been saying that for over a year now.",2008-09-26,2008,2008_September_26_2008
Moderator,"Afghanistan, Senator McCain?",2008-09-26,2008,2008_September_26_2008
John McCain,"First of all, I won’t repeat the mistake that I regret enormously, and that is, after we were able to help the Afghan freedom fighters and drive the Russians out of Afghanistan, we basically washed our hands of the region.",2008-09-26,2008,2008_September_26_2008
Barack Obama,Nobody talked about attacking Pakistan. Here’s what I said.,2008-09-26,2008,2008_September_26_2008
John McCain,"I — I don’t think that Senator Obama understands that there was a failed state in Pakistan when Musharraf came to power. Everybody who was around then, and had been there, and knew about it knew that it was a failed state.",2008-09-26,2008,2008_September_26_2008
John McCain,"A war that I was in, where we had an Army, that it wasn’t through any fault of their own, but they were defeated. And I know how hard it is for that — for an Army and a military to recover from that. And it did and we will win this one and we won’t come home in defeat and dishonor and probably have to go back if we fail.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Jim, let me just make a point. I’ve got a bracelet, too, from Sergeant – from the mother of Sergeant Ryan David Jopeck (ph), given to me in green bay. She asked me, can you please make sure another mother is not going through what I’m going through.",2008-09-26,2008,2008_September_26_2008
John McCain,"You might think that with that kind of concern that Senator Obama would have gone to Afghanistan, particularly given his responsibilities as a subcommittee chairman. By the way, when I’m subcommittee chairman, we take up the issues under my subcommittee. But the important thing is — the important thing is I visited Afghanistan and I traveled to Waziristan and I traveled to these places and I know what our security requirements are. I know what our needs are. So the point is that we will prevail in Afghanistan, but we need the new strategy and we need it to succeed.",2008-09-26,2008,2008_September_26_2008
Moderator,"I have some good news and bad news for the two of you. You all are even on time, which is remarkable, considering we’ve been going at it …",2008-09-26,2008,2008_September_26_2008
Barack Obama,"A testimony to you, Jim.",2008-09-26,2008,2008_September_26_2008
Moderator,"I don’t know about that. But the bad news is all my little five minute things have run over, so, anyhow, we’ll adjust as we get there. But the amount of time is even.",2008-09-26,2008,2008_September_26_2008
John McCain,"My reading of the threat from Iran is that if Iran acquires nuclear weapons, it is an existential threat to the State of Israel and it is a threat to other countries in the region because the other countries in the region will feel compelling requirement to acquire nuclear weapons as well.",2008-09-26,2008,2008_September_26_2008
Moderator,"Two minutes on Iran, Senator Obama.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Well, let me just correct something very quickly. I believe the Republican Guard of Iran is a terrorist organization. I’ve consistently said so. What Senator McCain refers to is a measure in the Senate that would try to broaden the mandate inside of Iraq. To deal with Iran.",2008-09-26,2008,2008_September_26_2008
Moderator,"Senator, what about talking?",2008-09-26,2008,2008_September_26_2008
John McCain,"Senator Obama twice said in debates he would sit down with Ahmadinejad, Chavez and Raul Castro without precondition. Without precondition. Here is Ahmadinenene (ph), Ahmadinejad, who is, Ahmadinejad, who is now in New York, talking about the extermination of the State of Israel, of wiping Israel off the map, and we’re going to sit down, without precondition, across the table, to legitimize and give a propaganda platform to a person that is espousing the extermination of the state of Israel, and therefore then giving them more credence in the world arena and therefore saying, they’ve probably been doing the right thing, because you will sit down across the table from them and that will legitimize their illegal behavior.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"So let’s talk about this. First of all, Ahmadinejad is not the most powerful person in Iran. So he may not be the right person to talk to. But I reserve the right, as president of the United States to meet with anybody at a time and place of my choosing if I think it’s going to keep America safe.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"Senator McCain mentioned Henry Kissinger, who’s one of his advisers, who, along with five recent secretaries of state, just said that we should meet with Iran — guess what — without precondition. This is one of your own advisers.",2008-09-26,2008,2008_September_26_2008
John McCain,Of course.,2008-09-26,2008,2008_September_26_2008
Barack Obama,"If we can’t meet with our friends, I don’t know how we’re going to lead the world in terms of dealing with critical issues like terrorism.",2008-09-26,2008,2008_September_26_2008
John McCain,I’m not going to set the White House visitors schedule before I’m president of the United States. I don’t even have a seal yet.,2008-09-26,2008,2008_September_26_2008
Barack Obama,Of course not.,2008-09-26,2008,2008_September_26_2008
John McCain,He said that there could be secretary-level and lower level meetings. I’ve always encouraged them. The Iranians have met with Ambassador Crocker in Baghdad.,2008-09-26,2008,2008_September_26_2008
Barack Obama,"Look, I mean, Senator McCain keeps on using this example that suddenly the president would just meet with somebody without doing any preparation, without having low-level talks. Nobody’s been talking about that, and Senator McCain knows it. This is a mischaracterization of my position.",2008-09-26,2008,2008_September_26_2008
John McCain,"So let me get this right. We sit down with Ahmadinejad, and he says, “We’re going to wipe Israel off the face of the Earth,” and we say, “No, you’re not”? Oh, please.",2008-09-26,2008,2008_September_26_2008
Barack Obama,"No, let me tell…",2008-09-26,2008,2008_September_26_2008
John McCain,"By the way, my friend, Dr. Kissinger, who’s been my friend for 35 years, would be interested to hear this conversation and Senator Obama’s depiction of his — of his positions on the issue. I’ve known him for 35 years.",2008-09-26,2008,2008_September_26_2008
Barack Obama,We will take a look.,2008-09-26,2008,2008_September_26_2008
John McCain,And I guarantee you he would not — he would not say that presidential top level.,2008-09-26,2008,2008_September_26_2008
Barack Obama,Nobody’s talking about that.,2008-09-26,2008,2008_September_26_2008
John McCain,"Of course he encourages and other people encourage contacts, and negotiations, and all other things. We do that all the time.",2008-09-26,2008,2008_September_26_2008
Moderator,We’re going to go to a new…,2008-09-26,2008,2008_September_26_2008
John McCain,And Senator Obama is parsing words when he says precondition means preparation.,2008-09-26,2008,2008_September_26_2008
Barack Obama,I am not parsing words.,2008-09-26,2008,2008_September_26_2008
John McCain,"He’s parsing words, my friends.",2008-09-26,2008,2008_September_26_2008
Barack Obama,I’m using the same words that your advisers use.,2008-09-26,2008,2008_September_26_2008
Moderator,New lead question.,2008-09-26,2008,2008_September_26_2008
Barack Obama,"Well, I think that, given what’s happened over the last several weeks and months, our entire Russian approach has to be evaluated, because a resurgent and very aggressive Russia is a threat to the peace and stability of the region.",2008-09-26,2008,2008_September_26_2008
Moderator,"Two minutes on Russia, Senator McCain.",2008-09-26,2008,2008_September_26_2008
John McCain,"Well, I was interested in Senator Obama’s reaction to the Russian aggression against Georgia. His first statement was, “Both sides ought to show restraint.”",2008-09-26,2008,2008_September_26_2008
John McCain,"And they showed solidarity with them, but, also, they are very concerned about the Russian threats to regain their status of the old Russian to regain their status of the old Russian empire.",2008-09-26,2008,2008_September_26_2008
Moderator,You see any — do you have a major difference with what he just said?,2008-09-26,2008,2008_September_26_2008
Barack Obama,"No, actually, I think Senator McCain and I agree for the most part on these issues. Obviously, I disagree with this notion that somehow we did not forcefully object to Russians going into Georgia.",2008-09-26,2008,2008_September_26_2008
Moderator,We’ve got time for one more lead question segment. We’re way out of…,2008-09-26,2008,2008_September_26_2008
Moderator,Quick response and then…,2008-09-26,2008,2008_September_26_2008
John McCain,"No one from Arizona is against solar. And Senator Obama says he’s for nuclear, but he’s against reprocessing and he’s against storing. So…",2008-09-26,2008,2008_September_26_2008
Barack Obama,"That’s just not true, John. John, I’m sorry, but that’s not true.",2008-09-26,2008,2008_September_26_2008
John McCain,… it’s hard to get there from here. And off-shore drilling is also something that is very important and it is a bridge.,2008-09-26,2008,2008_September_26_2008
Barack Obama,"I just have to respond very quickly, just to correct — just to correct the record.",2008-09-26,2008,2008_September_26_2008
John McCain,"So I want to say that, with the Nunn-Lugar thing…",2008-09-26,2008,2008_September_26_2008
Moderator,"Excuse me, Senator.",2008-09-26,2008,2008_September_26_2008
