speaker,text,date,year,debate_id
Walters,"Thank you, Dorothy.",1984-10-07,1984,1984_October_7_1984
Wieghart,"Mr. President, in 1980 you promised the American people — in your campaign — a balanced budget by 1983. We’ve now had more and bigger deficits in the 4 years you’ve been in office. Mr. President, do you have a secret plan to balance the budget sometime in a second term, and if so, would you lay out that plan for us tonight?",1984-10-07,1984,1984_October_7_1984
Wieghart,"Mr. President, the Congressional Budget Office has some bad news. The lines aren’t about to meet, according to their projections. They project that the budget deficit will continue to climb. In the year 1989 they project a budget deficit of $273 billion.",1984-10-07,1984,1984_October_7_1984
Wieghart,"Mr. Mondale, the Carter-Mondale administration didn’t come close to balancing the budget in its 4 years in office either, despite the fact that President Carter did promise a balanced budget during his term.",1984-10-07,1984,1984_October_7_1984
Walter Mondale,One of the key tests of leadership is whether one sees clearly the nature of the problems confronted by our nation. And perhaps the dominant domestic issue of our times is what do we do about these enormous deficits.,1984-10-07,1984,1984_October_7_1984
Wieghart,"Mr. Mondale, one other way to attack the deficit is further reductions in spending. The President has submitted a number of proposals to Congress to do just that, and in many instances the House, controlled by the Democrats, has opposed them. Isn’t it one aspect of leadership for prominent Democrats such as yourself to encourage responsible reductions in spending, and thereby reduce the deficit?",1984-10-07,1984,1984_October_7_1984
Walter Mondale,"Absolutely, and I proposed over a hundred billion dollars in cuts in Federal spending over 4 years, but I am not going to cut it out of Social Security and Medicare and student assistance and things — [applause] — that people need. These people depend upon all of us for the little security that they have, and I’m not going to do it that way.",1984-10-07,1984,1984_October_7_1984
Walters,I would like to ask the audience please to refrain from applauding either side; it just takes away from the time for your candidates.,1984-10-07,1984,1984_October_7_1984
Ronald Reagan,"Yes. I don’t believe that Mr. Mondale has a plan for balancing the budget; he has a plan for raising taxes. And, as a matter of fact, the biggest single tax increase in our nation’s history took place 1977. And for the 5 years previous to our taking office, taxes doubled in the United States, and the budgets increased $318 billion. So, there is no ratio between taxing and balancing a budget. Whether you borrow the money or whether you simply tax it away from the people, you’re taking the same amount of money out of the private sector, unless and until you bring down government’s share of what it is taking.",1984-10-07,1984,1984_October_7_1984
Walters,Mr. Mondale?,1984-10-07,1984,1984_October_7_1984
Walter Mondale,"Well, that’s exactly the commitment that was made to the American people in 1980: He would never reduce benefits. And of course, what happened right after the election is they proposed to cut Social Security benefits by 25 percent — reducing the adjustment for inflation, cutting out minimum benefits for the poorest on Social Security, removing educational benefits for dependents whose widows were trying — with widows trying to get them through college. Everybody remembers that; people know what happened.",1984-10-07,1984,1984_October_7_1984
Walters,"Thank you very much. We’ll now begin with segment number two with my colleague, Diane Sawyer.",1984-10-07,1984,1984_October_7_1984
Sawyer,"Mr. President, Mr. Mondale, the public opinion polls do suggest that the American people are most concerned about the personal leadership characteristics of the two candidates, and each of you has questioned the other’s leadership ability. Mr. President, you have said that Mr. Mondale’s leadership would take the country down the path of defeatism and despair, and Vice President Bush has called him whining and hoping for bad news. And, Mr. Mondale, you have said that President Reagan offers showmanship, not leadership, that he has not mastered what he must know to command his government.",1984-10-07,1984,1984_October_7_1984
Walter Mondale,"Well, first of all, I think the first answer this evening suggests exactly what I’m saying. There is no question that we face this massive deficit, and almost everybody agrees unless we get it down, the chances for long-term, healthy growth are nil. And it’s also unfair to dump these tremendous bills on our children.",1984-10-07,1984,1984_October_7_1984
Sawyer,"You have said, Mr. Mondale, that the polls have given you lower ratings on leadership than President Reagan because your message has failed to get through. Given that you have been in public office for so many years, what accounts for the failure of your message to get through?",1984-10-07,1984,1984_October_7_1984
Walter Mondale,"Well, I think we’re getting better all the time. And I think tonight, as we contrast for the first time our differing approach to government, to values, to the leadership in this country, I think as this debate goes forward, the American people will have for the first time a chance to weigh the two of us against each other. And I think, as a part of that process, what I am trying to say will come across, and that is that we must lead, we must command, we must direct, and a President must see it like it is. He must stand for the values of decency that the American people stand for, and he must use the power of the White House to try to control these nuclear weapons and lead this world toward a safer world.",1984-10-07,1984,1984_October_7_1984
Sawyer,"Mr. President, the issue is leadership in personal terms. First, do you think, as Vice President Bush said, that Mr. Mondale’s campaign is one of whining and hoping for bad news? And second, what leadership characteristics do you possess that Mr. Mondale does not?",1984-10-07,1984,1984_October_7_1984
Ronald Reagan,"Well, whether he does or not, let me suggest my own idea about the leadership factor, since you’ve asked it. And, incidentally, I might say that with regard to the 25-percent cut in Social Security — before I get to the answer to your question — the only 25-percent cut that I know of was accompanying that huge 1977 tax increase, was a cut of 25 percent in the benefits for every American who was born after 1916.",1984-10-07,1984,1984_October_7_1984
Sawyer,"As a followup, let me draw in another specific, if I could — a specific that the Democrats have claimed about your campaign — that it is essentially based on imagery. And one specific that they allege is that, for instance, recently you showed up at the opening ceremony of a Buffalo old-age housing project, when in fact, your policy was to cut Federal housing subsidies for the elderly. Yet you were there to have your picture taken with them.",1984-10-07,1984,1984_October_7_1984
Ronald Reagan,"Our policy was not to cut subsidies. We have believed in partnership, and that was an example of a partnership between, not only local government and the Federal Government but also between the private sector that built that particular structure. And this is what we’ve been trying to do, is involve the Federal Government in such partnerships.",1984-10-07,1984,1984_October_7_1984
Walters,"Mr. Mondale, an opportunity for you to rebut.",1984-10-07,1984,1984_October_7_1984
